cfg_id,phase,symbol,return_pct,pf,dd,calmar,trades,hit,halted,params
4,train,AVAX/USD,120.49,1.768,-9.46,106.531,510,80.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
4,train,LINK/USD,201.98,2.605,-8.08,344.644,502,82.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
4,train,XRP/USD,160.49,2.035,-9.22,188.618,508,80.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
5,train,SOL/USD,208.79,2.294,-5.81,513.538,547,81.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
5,train,ETH/USD,180.96,2.358,-4.73,467.914,498,81.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
5,train,AVAX/USD,114.8,1.737,-9.46,97.577,511,80.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
5,train,LINK/USD,195.62,2.553,-8.08,322.249,503,82.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
5,train,XRP/USD,157.3,2.018,-9.22,181.266,509,80.0,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
6,train,SOL/USD,229.28,2.289,-6.38,572.41,461,71.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
6,train,ETH/USD,221.39,2.43,-8.08,418.755,404,75.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
6,train,AVAX/USD,124.31,1.771,-11.99,89.008,415,70.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
6,train,LINK/USD,222.1,2.565,-8.01,425.422,409,74.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
6,train,XRP/USD,184.64,2.143,-9.01,256.141,431,72.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
7,train,SOL/USD,225.49,2.267,-6.38,552.085,462,71.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
7,train,ETH/USD,214.19,2.389,-8.08,390.059,405,75.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
7,train,AVAX/USD,118.24,1.74,-11.97,81.387,416,70.0,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
7,train,LINK/USD,215.44,2.516,-8.01,398.466,410,74.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
7,train,XRP/USD,181.17,2.125,-9.01,246.343,432,72.2,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
8,train,SOL/USD,159.49,1.858,-8.73,196.883,584,80.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
8,train,ETH/USD,137.13,1.926,-6.9,185.799,531,80.2,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
8,train,AVAX/USD,90.29,1.539,-12.87,47.216,558,78.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
8,train,LINK/USD,150.14,1.993,-8.47,180.213,542,80.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
8,train,XRP/USD,114.44,1.637,-11.9,77.139,555,77.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
9,train,SOL/USD,156.41,1.845,-8.73,189.44,585,80.2,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
9,train,ETH/USD,132.62,1.899,-8.91,135.068,532,80.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
9,train,AVAX/USD,85.7,1.516,-12.87,43.284,559,78.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
9,train,LINK/USD,143.53,1.954,-8.47,165.204,542,80.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
9,train,XRP/USD,111.24,1.622,-11.9,73.317,557,77.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
10,train,SOL/USD,174.73,1.885,-10.97,187.98,491,70.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
10,train,ETH/USD,178.33,2.062,-7.98,269.485,436,74.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
10,train,AVAX/USD,89.25,1.492,-22.11,26.963,462,69.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
10,train,LINK/USD,179.18,2.057,-9.94,218.402,453,73.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
10,train,XRP/USD,136.14,1.698,-12.06,104.869,481,70.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
11,train,SOL/USD,171.49,1.872,-10.97,181.002,492,70.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
11,train,ETH/USD,172.93,2.037,-7.98,253.153,437,73.9,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
11,train,AVAX/USD,84.65,1.471,-22.11,24.688,463,69.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
11,train,LINK/USD,171.62,2.019,-9.94,200.106,454,72.9,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
11,train,XRP/USD,132.42,1.682,-12.06,99.534,482,70.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
12,train,SOL/USD,206.62,2.255,-5.85,498.953,544,82.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
12,train,ETH/USD,180.74,2.309,-5.32,415.49,494,82.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
12,train,AVAX/USD,113.6,1.719,-9.51,95.304,510,81.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
12,train,LINK/USD,197.33,2.52,-8.11,326.943,498,83.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
12,train,XRP/USD,152.31,1.946,-9.96,157.534,507,81.3,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
13,train,SOL/USD,202.58,2.232,-5.93,472.653,545,82.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
13,train,ETH/USD,174.58,2.27,-5.32,387.13,495,82.2,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
13,train,AVAX/USD,108.1,1.689,-9.51,87.22,511,81.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
13,train,LINK/USD,191.11,2.474,-8.11,305.832,499,83.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
13,train,XRP/USD,149.21,1.931,-9.96,151.361,508,81.1,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
